x	y
3079	4.357e3
3079	4.350e3
3079	4.342e3
3079	4.339e3
3079	4.340e3
3079	4.337e3
3079	4.329e3
3079	4.327e3
3079	4.342e3
3079	4.373e3
3079	4.392e3
3079	4.386e3
3079	4.397e3
3079	4.411e3
3079	4.424e3
3079	4.452e3
3079	4.459e3
3079	4.474e3
3079	4.506e3
3079	4.531e3
3079	4.542e3
3080	4.556e3
3080	4.555e3
3080	4.570e3
3080	4.612e3
3080	4.614e3
3080	4.630e3
3080	4.637e3
3080	4.660e3
3080	4.667e3
3080	4.692e3
3080	4.695e3
3080	4.687e3
3080	4.691e3
3080	4.716e3
3080	4.730e3
3080	4.710e3
3080	4.693e3
3080	4.687e3
3080	4.683e3
3080	4.686e3
3080	4.682e3
3080	4.670e3
3080	4.676e3
3080	4.672e3
3080	4.652e3
3080	4.638e3
3080	4.636e3
3080	4.638e3
3080	4.647e3
3080	4.653e3
3080	4.628e3
3080	4.618e3
3080	4.607e3
3080	4.620e3
3080	4.621e3
3080	4.617e3
3080	4.592e3
3080	4.598e3
3080	4.585e3
3080	4.582e3
3080	4.588e3
3081	4.609e3
3081	4.620e3
3081	4.623e3
3081	4.598e3
3081	4.581e3
3081	4.582e3
3081	4.580e3
3081	4.580e3
3081	4.565e3
3081	4.571e3
3081	4.578e3
3081	4.592e3
3081	4.588e3
3081	4.579e3
3081	4.609e3
3081	4.617e3
3081	4.609e3
3081	4.623e3
3081	4.637e3
3081	4.634e3
3081	4.659e3
3081	4.695e3
3081	4.713e3
3081	4.726e3
3081	4.764e3
3081	4.792e3
3081	4.812e3
3081	4.834e3
3081	4.865e3
3081	4.888e3
3081	4.932e3
3081	4.969e3
3081	4.981e3
3081	5.018e3
3081	5.055e3
3081	5.067e3
3081	5.069e3
3081	5.082e3
3081	5.095e3
3081	5.114e3
3081	5.146e3
3082	5.160e3
3082	5.211e3
3082	5.231e3
3082	5.255e3
3082	5.265e3
3082	5.277e3
3082	5.280e3
3082	5.266e3
3082	5.263e3
3082	5.252e3
3082	5.239e3
3082	5.263e3
3082	5.265e3
3082	5.272e3
3082	5.264e3
3082	5.249e3
3082	5.243e3
3082	5.244e3
3082	5.234e3
3082	5.219e3
3082	5.201e3
3082	5.185e3
3082	5.179e3
3082	5.167e3
3082	5.132e3
3082	5.117e3
3082	5.101e3
3082	5.080e3
3082	5.082e3
3082	5.050e3
3082	5.005e3
3082	4.959e3
3082	4.935e3
3082	4.905e3
3082	4.885e3
3082	4.875e3
3082	4.875e3
3082	4.857e3
3082	4.825e3
3082	4.800e3
3082	4.772e3
3082	4.750e3
3083	4.752e3
3083	4.710e3
3083	4.678e3
3083	4.688e3
3083	4.688e3
3083	4.680e3
3083	4.660e3
3083	4.657e3
3083	4.621e3
3083	4.624e3
3083	4.600e3
3083	4.583e3
3083	4.569e3
3083	4.568e3
3083	4.582e3
3083	4.594e3
3083	4.617e3
3083	4.633e3
3083	4.638e3
3083	4.634e3
3083	4.614e3
3083	4.625e3
3083	4.642e3
3083	4.671e3
3083	4.680e3
3083	4.700e3
3083	4.694e3
3083	4.693e3
3083	4.711e3
3083	4.745e3
3083	4.785e3
3083	4.796e3
3083	4.802e3
3083	4.810e3
3083	4.818e3
3083	4.834e3
3083	4.839e3
3083	4.837e3
3083	4.869e3
3083	4.905e3
3083	4.907e3
3084	4.916e3
3084	4.941e3
3084	4.941e3
3084	4.957e3
3084	4.939e3
3084	4.950e3
3084	4.972e3
3084	4.990e3
3084	4.991e3
3084	4.970e3
3084	4.977e3
3084	5.002e3
3084	5.003e3
3084	4.985e3
3084	4.976e3
3084	4.970e3
3084	4.944e3
3084	4.925e3
3084	4.931e3
3084	4.923e3
3084	4.905e3
3084	4.882e3
3084	4.866e3
3084	4.849e3
3084	4.836e3
3084	4.811e3
3084	4.790e3
3084	4.772e3
3084	4.751e3
3084	4.725e3
3084	4.702e3
3084	4.664e3
3084	4.644e3
3084	4.613e3
3084	4.605e3
3084	4.599e3
3084	4.589e3
3084	4.587e3
3084	4.561e3
3084	4.522e3
3084	4.470e3
3085	4.442e3
3085	4.429e3
3085	4.408e3
3085	4.387e3
3085	4.381e3
3085	4.366e3
3085	4.363e3
3085	4.343e3
3085	4.317e3
3085	4.317e3
3085	4.306e3
3085	4.283e3
3085	4.297e3
3085	4.289e3
3085	4.293e3
3085	4.282e3
3085	4.277e3
3085	4.265e3
3085	4.258e3
3085	4.274e3
3085	4.254e3
3085	4.221e3
3085	4.225e3
3085	4.258e3
3085	4.275e3
3085	4.279e3
3085	4.295e3
3085	4.304e3
3085	4.305e3
3085	4.322e3
3085	4.334e3
3085	4.359e3
3085	4.367e3
3085	4.382e3
3085	4.382e3
3085	4.392e3
3085	4.426e3
3085	4.424e3
3085	4.438e3
3085	4.465e3
3085	4.492e3
3086	4.505e3
3086	4.519e3
3086	4.553e3
3086	4.568e3
3086	4.551e3
3086	4.541e3
3086	4.546e3
3086	4.552e3
3086	4.571e3
3086	4.577e3
3086	4.592e3
3086	4.584e3
3086	4.590e3
3086	4.600e3
3086	4.598e3
3086	4.580e3
3086	4.557e3
3086	4.549e3
3086	4.522e3
3086	4.533e3
3086	4.538e3
3086	4.542e3
3086	4.517e3
3086	4.490e3
3086	4.484e3
3086	4.477e3
3086	4.467e3
3086	4.441e3
3086	4.422e3
3086	4.424e3
3086	4.407e3
3086	4.404e3
3086	4.380e3
3086	4.344e3
3086	4.320e3
3086	4.297e3
3086	4.281e3
3086	4.253e3
3086	4.248e3
3086	4.235e3
3086	4.222e3
3087	4.195e3
3087	4.196e3
3087	4.178e3
3087	4.164e3
3087	4.152e3
3087	4.128e3
3087	4.105e3
3087	4.084e3
3087	4.078e3
3087	4.050e3
3087	4.028e3
3087	3.997e3
3087	3.947e3
3087	3.918e3
3087	3.915e3
3087	3.913e3
3087	3.903e3
3087	3.902e3
3087	3.878e3
3087	3.855e3
3087	3.832e3
3087	3.830e3
3087	3.831e3
3087	3.840e3
3087	3.834e3
3087	3.827e3
3087	3.833e3
3087	3.847e3
3087	3.873e3
3087	3.869e3
3087	3.870e3
3087	3.873e3
3087	3.896e3
3087	3.902e3
3087	3.909e3
3087	3.906e3
3087	3.897e3
3087	3.911e3
3087	3.914e3
3087	3.897e3
3087	3.900e3
3087	3.893e3
3088	3.893e3
3088	3.903e3
3088	3.892e3
3088	3.903e3
3088	3.902e3
3088	3.902e3
3088	3.895e3
3088	3.891e3
3088	3.879e3
3088	3.878e3
3088	3.865e3
3088	3.877e3
3088	3.915e3
3088	3.920e3
3088	3.899e3
3088	3.911e3
3088	3.902e3
3088	3.891e3
3088	3.891e3
3088	3.895e3
3088	3.890e3
3088	3.892e3
3088	3.891e3
3088	3.875e3
3088	3.873e3
3088	3.870e3
3088	3.872e3
3088	3.879e3
3088	3.920e3
3088	3.944e3
3088	3.965e3
3088	3.950e3
3088	3.920e3
3088	3.933e3
3088	3.945e3
3088	3.936e3
3088	3.940e3
3088	3.932e3
3088	3.922e3
3088	3.899e3
3088	3.889e3
3089	3.847e3
3089	3.847e3
3089	3.850e3
3089	3.875e3
3089	3.864e3
3089	3.843e3
3089	3.843e3
3089	3.851e3
3089	3.843e3
3089	3.849e3
3089	3.868e3
3089	3.856e3
3089	3.855e3
3089	3.841e3
